"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30039","Login to Application","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","Login with 3 users data with JSON file > Login with admin2 data","loginWithJSONfiledata.spec.js","",""
"","10534","My Fourth Test","chromium","Fri Mar 21 23:37:15 IST 2025","passed","Fri Mar 21 23:37:26 IST 2025","","smaple.spec.js","",""
"","1","Handle conform box","chromium","Fri Mar 21 23:36:28 IST 2025","skipped","Fri Mar 21 23:36:28 IST 2025","","handleAlerts.spec.js","",""
"","30179","Login to Application","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","Login with 3 users data with JSON file > Login with admin1 data","loginWithJSONfiledata.spec.js","",""
"","35168","Handle autosuggestions using keyboard","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:10 IST 2025","","handleautosuggestions.spec.js","",""
"","30005","Working with multiple windows","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","","handle-window.spec.js","",""
"","60240","Verify keyboard events","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:35 IST 2025","","keyboardsEvents.spec.js","",""
"","35611","Handle autosuggestions using Loops","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:11 IST 2025","","handleautosuggestions.spec.js","",""
"","30033","Login to Application","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","Login with 3 users data with JSON file > Login with admin3 data","loginWithJSONfiledata.spec.js","",""
"","0","Handle alerts","chromium","Fri Mar 21 23:36:28 IST 2025","skipped","Fri Mar 21 23:36:28 IST 2025","","handleAlerts.spec.js","",""
"","16442","Verify Error Message","chromium","Fri Mar 21 23:37:16 IST 2025","passed","Fri Mar 21 23:37:32 IST 2025","","verifyErrorMessage.spec.js","",""
"","30035","mouse hover","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","","mousehover.spec.js","",""
"","30042","My First Test","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","","smaple.spec.js","",""
"","33518","test","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:08 IST 2025","","codegen1.spec.js","",""
"","35125","Verify file upload","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:10 IST 2025","","fileUpload.spec.js","",""
"","35401","basic test","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:10 IST 2025","","google.spec.js","",""
"","32065","Valid Login","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:07 IST 2025","","login.spec.js","",""
"","32672","Handle frames","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:08 IST 2025","","handleFrames.spec.js","",""
"","33700","Handle prompt","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:09 IST 2025","","handleAlerts.spec.js","",""
"","21517","Wait for Load State","chromium","Fri Mar 21 23:37:16 IST 2025","failed","Fri Mar 21 23:37:38 IST 2025","","waitForLoadState.spec.js","",""
"","30492","selecting an option from a dropdown","chromium","Fri Mar 21 23:36:35 IST 2025","broken","Fri Mar 21 23:37:05 IST 2025","","dropDown.spec.js","",""
"","1","My Second Test","chromium","Fri Mar 21 23:37:14 IST 2025","skipped","Fri Mar 21 23:37:14 IST 2025","","smaple.spec.js","",""
